Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,% Desistimiento by Device Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Device Type,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,,12 Month,Total,Total,Total,Total,Total,,YTD,YTD,,,,
,,,,,,,,,,,,,,,,,,Average,2021,2022,2023,2024,2025,,2025,2026,,,,
,,Policies,WATCH,,-0.5,-2,0.75,0,0,0,0,0,0,0,0,0,,0,-0.47474747474747475,0.08433734939759036,0.047058823529411764,-0.3375,0.20833333333333334,,0.5,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gross New Policies by Sales Channel,WATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gross New Policies by Sales Channel,WATCH,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Sales Channel,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,,12 Month,Total,Total,Total,Total,Total,,YTD,YTD,,,,
,,Measure,Sales Channel,,,,,,,,,,,,,,,Average,2018,2019,2020,2021,2022,,2022,2023,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Business,1004,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Banner Movistar,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,One click,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Portabilidad,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Portabilidad TML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Publicidad,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Rent to Rent,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Retencion,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,SIM Only,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,SIM Only MAS15,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,SIM Only Póliza,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,SIM_ONLY_RENY,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,TELCO,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Tienda,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Web,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Web Carrito,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Web Carrito Libre,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Web Movistar,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Policies,Web_Carrito_MIMOVISTAR,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,Total,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net New Policies by Product and Band,Web_Carrito_MIMOVISTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net New Policies by Product and Band,Web_Carrito_MIMOVISTAR,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Product,Band,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,,12 Month,Total,Total,Total,Total,Total,,YTD,YTD,,,,
,,Measure,Product,,,,,,,,,,,,,,,Average,2021,2022,2023,2024,2025,,2025,2026,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net New Business,D - May 18 to Apr 24,Band 1 - €0 - €200,4125,4596,5051,4968,4906,5133,4339,4839,4768,4631,4216,4329,,4658.416666666667,11778,12759,12657,11159,0,,4313,4329,,,,
,,Policies,AD & Theft,Band 2 - €201 - €400,5071,4936,4909,4670,5157,4935,5066,5018,4635,4578,5586,4934,,4957.916666666667,21966,26065,26783,23953,0,,5230,4934,,,,
,,Policies,AD & Theft,Band 3 - €401 - €600,4063,4845,4827,4293,4878,4638,4021,4482,5107,4114,4702,4185,,4512.916666666667,12005,13839,13294,12438,0,,4194,4185,,,,
,,Policies,AD & Theft,Band 4 - €601 - €950,5464,5586,5427,5335,5418,4718,5720,5323,5271,5401,4844,4981,,5290.666666666667,17442,20439,18735,16864,0,,5558,4981,,,,
,,Policies,AD & Theft,Band 5 - €951 - €1200,4062,4877,4719,4888,4226,4518,4515,4551,4390,4873,5015,4765,,4616.583333333333,11188,11684,11224,9992,0,,4554,4765,,,,
,,Policies,AD & Theft,Band 6 - €1201 - €1500,4944,5350,5141,5030,4811,4446,5269,4895,5279,4932,4978,5054,,5010.75,9782,14085,15154,13505,0,,5452,5054,,,,
,,Policies,D - May 18 to Apr 24,Band 1 - €0 - €200,3168,3448,3632,3769,3591,3223,3278,3571,3538,3654,3858,3725,,3537.9166666666665,2118,2360,2730,2271,0,,3635,3725,,,,
