Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,Return,,,1.0,7.0
,,,,,,,,,,,,,,,,,,,,,,
,,Year on Year Analysis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Live Volume,,,,,,,,,,,,,,,,,,,,
,,Live Volume,,,Reporting Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,Measure,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Live Volume,2013,3256,11424,13268,14848,12748,10362,8795,2805,19944,18981,3066,15572,15572,,3256,,,,
,,Live Volume,2014,15268,15907,19966,18057,11037,6871,2902,8953,11032,8792,2186,5077,5077,,15268,,,,
,,Live Volume,2015,9897,5369,5636,2976,17913,11426,4063,16735,8481,3285,7507,19789,19789,,9897,,,,
,,Live Volume,2016,8830,5412,18552,14747,9298,19004,6097,18013,18649,14391,70,9048,9048,,8830,,,,
,,Live Volume,2017,19312,18645,4697,19861,11813,2197,18264,3830,17190,10617,10554,3619,3619,,19312,,,,
,,Live Volume,2018,5035,13495,17609,4201,751,12958,14139,13009,2523,177,235,15461,15461,,5035,,,,
,,Live Volume,2019,3504,18684,1683,10020,17958,1406,10362,6150,11030,7855,7675,7831,7831,,3504,,,,
,,Live Volume,2020,3039,14588,15129,1903,8727,15040,19196,6853,13894,6934,1982,9142,9142,,3039,,,,
,,Live Volume,2021,3779,10725,5762,11278,12104,5848,5836,6686,18486,3610,4184,11406,11406,,3779,,,,
,,Live Volume,2022,2507,3022,13682,16581,9602,9829,6801,17431,15488,3861,3814,9734,9734,,2507,,,,
,,Live Volume,2023,5819,6655,7524,2599,58,9903,13062,13836,9442,3879,3927,8195,8195,,5819,,,,
,,Live Volume,2024,6504,12399,19370,3846,3154,18849,8757,7906,10659,10358,721,17056,17056,,6504,,,,
,,Live Volume,2025,10845,15386,10886,9588,16229,444,6835,15648,5945,2961,16602,4852,4852,,10845,,,,
,,Live Volume,2026,18428,0,0,0,0,0,0,0,0,0,0,0,18428,,18428,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Claims Frequency,2026,,,,,,,,,,,,,,,,,,,
,,Claims Frequency,2026,,Loss Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,Measure,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Earned Policies,2013,,,,,,,426922.6191605138,463141.58455571125,199374.84691473105,90740.83468149332,311861.5441508985,576318.7027545822,2068360.1322179297,,0,,,,
,,Earned Policies,2014,230928.03818757183,366398.09253665205,247990.9723799666,394895.93334414135,370047.0771963103,70014.32389863703,500306.9473493399,171363.6539989009,343420.21598526626,584237.331135752,61486.61729867257,541439.7395015013,3882528.942812713,,230928.03818757183,,,,
,,Earned Policies,2015,496348.65293158556,554458.9686346527,202906.95363927368,424329.0734392193,40917.1843311241,60001.29731224682,128737.88776706738,118888.22406847552,30429.412801413826,592488.4605618829,88784.28471181716,58945.52374990705,2797235.9239486665,,496348.65293158556,,,,
,,Earned Policies,2016,203900.08109793882,38497.18459038931,495961.75010130147,150673.02451691625,217759.05267317154,16743.31041222783,539361.8896228096,199588.44487709735,400630.2441733553,414274.96858715825,134450.52843011133,71807.48105360202,2883647.960136079,,203900.08109793882,,,,
,,Earned Policies,2017,155320.86064916023,210856.81129577864,89323.04182923213,436735.1682357936,49046.2382179093,578140.006277557,470830.59688431566,2408.241657270116,96022.66899151268,12120.44364806668,165211.71037104173,14505.137207475083,2280520.9252651124,,155320.86064916023,,,,
,,Earned Policies,2018,569623.5466860896,381459.13427659066,578604.7486005648,306274.244049026,546618.837878316,590660.6419489552,332322.40713473764,517558.16615324345,289660.26677908667,111242.32633144708,529868.5636279245,40311.56260706943,4794204.446073052,,569623.5466860896,,,,
,,Earned Policies,2019,6709.975767489862,491090.5857923986,88683.14113575946,399560.45866564114,526179.7812471169,309432.89893755317,528048.5645512331,291197.8580354844,341037.2624457574,406570.0979024983,541006.3425443311,460477.2102077552,4389994.177233018,,6709.975767489862,,,,
,,Earned Policies,2020,380172.91996560135,386967.46107968263,159981.71772178684,316774.8043294835,62253.659604390334,55416.51617633507,225910.52991179834,489583.0439297152,583529.7996161988,214943.30419265147,512466.44525034673,420757.1113591129,3808757.3131371033,,380172.91996560135,,,,
