Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,,,,Return,,,,2025-01-01
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Loss Ratio Summary - Earned Premium,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Loss Ratio Summary - Earned Premium,,,Loss Month,,,,,,,,,,,,,,,,,,,,
,,Measure,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,,,
,,Measure,,,,,,,,,,,,,,Average,,2025,,2025,2026,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net Earned Premium,,55372.52000000006,54448.909999999705,52200.76000000003,50208.929999999826,48979.78999999979,46220.229999999974,44892.06999999987,43280.89000000015,42429.81999999993,41178.38999999995,38165.51999999998,34561.77,45994.96666666661,,575048.6099999958,,57670.77999999992,34561.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allocated Paid Claims Value,,293067.74999999994,300141.3499999996,267367.46000000025,306612.7299999999,314763.5300000003,339689.8100000002,347820.72,316196.0999999997,290849.3999999999,298557.8000000002,263996.3099999999,144369.08999999997,290286.0041666667,,3670959.610000011,,331896.64999999973,144369.08999999997,,,,
,,Unallocated Paid Claims Value,,4186.08,2909.61,1211.64,2718.19,764.45,2450.76,2341.87,1866.9,1474.06,2821.2,0,1358.01,2008.564166666667,,28138.9,,5394.14,1358.01,,,,
,,Total ACS,,4126.399999999992,2754.039999999997,1262.6200000000003,247.63000000000008,0,0,0,0,0,0,0,0,699.2241666666658,,14179.659999999963,,5788.969999999992,0,,,,
,,Total Paid Claims,,301380.2299999999,305804.9999999996,269841.72000000026,309578.54999999993,315527.98000000033,342140.5700000002,350162.58999999997,318062.9999999997,292323.4599999999,301379.00000000023,263996.3099999999,145727.09999999998,292993.7925,,3713278.170000011,,343079.7599999997,145727.09999999998,,,,
,,Paid Claim Loss Ratio before Salvage,,5.442776127942156,5.616365873990889,5.169306347263912,6.165806560705456,6.442003528394093,7.402398689924312,7.8000989929847515,7.348809139553244,6.8895757747735065,7.318863122137621,6.917141702772555,4.216424679638803,6.394130878340108,,6.457329181267021,,5.948935665513805,4.216424679638803,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salvage,,0,-4448.954155613477,-15737.077511447425,-3727.661497602225,0,-16568.501691213416,0,0,0,-15241.096562106364,-18297.602420684365,0,-6168.40781988894,,-74020.89383866728,,0,-5803.355692362057,,,,
,,Paid Claim Loss Ratio including Salvage,,5.442776127942156,5.6980746566940415,5.470778538692684,6.24004955886539,6.442003528394093,7.760867301854919,7.8000989929847515,7.348809139553244,6.8895757747735065,7.688986785595721,7.396569270396011,4.216424679638803,6.532917862948778,,6.58605028858118,,5.948935665513805,4.384337251603783,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Pending Claims,,59,52,38,63,75,58,86,55,81,79,286,846,148.16666666666666,,986,,54,846,,,,
,,Estimated Outstanding Value,,10827.174232936753,10241.043438320197,7416.031737226283,11685.78462794918,14342.202156743635,11840.14962740385,17320.54540822235,10835.380373831766,15327.782303188023,15395.604569190613,56303.46357941832,162415.22624999995,28662.532358702578,,192376.62372894026,,11070.05503397158,162415.22624999995,,,,
,,Paid Claim Loss Ratio including Pending claims,,5.638309476125276,5.722742462295535,5.0099016609294384,6.32430671456946,6.734822304398311,7.300098202371361,8.185925385223346,7.599159360489822,7.250826006407485,7.322615284548154,7.912958376008868,8.91569865345438,6.993113657235121,,6.663147833520217,,6.140888245901508,8.7477860814894,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estimated IBNR,,,,,,,,,,,,,,,,,,,,,,,
,,Estimated IBNR Value,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Claims Value,,312207.4042329367,311597.0892827063,261520.67422577913,317536.67313034687,329870.18215674395,337412.21793619066,367483.1354082223,328898.3803738315,307651.2423031879,301533.5080070845,302002.17115873384,308142.3262499999,315487.91703881364,,3831633.899890284,,354149.8150339713,302338.97055763786,,,,
,,Total Loss Ratio - Actual,,5.638309476125276,5.722742462295535,5.0099016609294384,6.32430671456946,6.734822304398311,7.300098202371361,8.185925385223346,7.599159360489822,7.250826006407485,7.322615284548154,7.912958376008868,8.91569865345438,6.993113657235121,,6.663147833520217,,6.140888245901508,8.7477860814894,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
