Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,New Business Cancellation by Product,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cancellation Month,,,,,,,,,,,,,,,,,,
,,Measure,Product,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,
,,,,,,,,,,,,,,,,,Average,,2025,,2025,2026,,
,,Rate,H,,0,0,0,0,-0.3090277777777778,-0.3347732181425486,0.08304011259676285,-0.11515863689776733,-0.12165572942958101,-0.0027416038382453737,-0.20680912712785224,-0.027214662593723966,-0.08619505360089445,,-0.10811036092356423,,0,-0.027214662593723966,,
,,Total,,,-0.02012156780549151,-0.0037230934897414455,-0.007759818372810139,0.023727355921364542,-0.009399501069137563,-0.01659521953754222,-0.00929193750592598,0.019053335096589116,-0.0032739627303613713,0.009099327616056689,-0.04198029181296786,0.0022505851521395564,-0.004834565711485683,,-0.006750600551014038,,-0.02380526435054325,0.0022505851521395564,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1st Renewal Cancellation by Product,H,,,,,,,,,,,,,,,,,,,,,
,,1st Renewal Cancellation by Product,H,,,Cancellation Month,,,,,,,,,,,,,,,,,,
,,Measure,Product,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,
,,Measure,Product,,,,,,,,,,,,,,Average,,2025,,2025,2026,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1st Renewal,D,,307,388,273,152,224,443,155,453,569,308,551,451,356.1666666666667,,4148,,325,451,,
,,Volume,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,F,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,H,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Total,,,307,388,273,152,224,443,155,453,569,308,551,451,356.1666666666667,,4148,,325,451,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Cooling Off,D,,335,295,402,196,127,394,102,450,527,243,542,485,341.5,,3989,,376,485,,
,,Volume,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,F,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Volume,H,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Total,,,335,295,402,196,127,394,102,450,527,243,542,485,341.5,,3989,,376,485,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Cooling Off ,D,,1.0912052117263844,0.7603092783505154,1.4725274725274726,1.2894736842105263,0.5669642857142857,0.8893905191873589,0.6580645161290323,0.9933774834437086,0.9261862917398945,0.788961038961039,0.9836660617059891,1.0753880266075388,0.9579594891919788,,0.9616682738669238,,1.156923076923077,1.0753880266075388,,
,,Rate,E,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Rate,F,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Rate,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Rate,H,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Total,,,1.0912052117263844,0.7603092783505154,1.4725274725274726,1.2894736842105263,0.5669642857142857,0.8893905191873589,0.6580645161290323,0.9933774834437086,0.9261862917398945,0.788961038961039,0.9836660617059891,1.0753880266075388,0.9579594891919788,,0.9616682738669238,,1.156923076923077,1.0753880266075388,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2nd Renewal Cancellation by Product,H,,,,,,,,,,,,,,,,,,,,,
,,2nd Renewal Cancellation by Product,H,,,Cancellation Month,,,,,,,,,,,,,,,,,,
,,Measure,Product,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,
,,Measure,Product,,,,,,,,,,,,,,Average,,2025,,2025,2026,,
