Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,,,,Return,,,,2025-01-01
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Policy Summary,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Policy Summary,,,Reporting Month,,,,,,,,,,,,,,,,,,,,
,,Measure,Criteria,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,,,
,,Measure,Criteria,,,,,,,,,,,,,Average,,2025,,2025,2026,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net Billed,Actual,55776.70999999986,54357.89,52356.24999999989,49825.90000000009,48958.92000000003,46502.850000000035,44420.32999999994,42498.14999999996,42325.76000000004,41692.320000000094,38664.909999999974,34692.499999999956,46006.040833333325,,574716.0699999975,,57336.079999999994,34692.499999999956,,,,
,,Premium,Expected,1783.5,1779.85,513.53,1160.67,1829.44,1624.9,1836.3,377.82,494.6,240.85,559.61,0,1016.7558333333333,,12837.68,,636.61,0,,,,
,,Premium,AvE Difference,53993.20999999986,52578.04,51842.71999999989,48665.23000000009,47129.480000000025,44877.95000000003,42584.02999999994,42120.32999999996,41831.16000000004,41451.470000000096,38105.299999999974,34692.499999999956,44989.28499999998,,561878.3899999975,,56699.469999999994,34692.499999999956,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gross New,Actual,55795,55356,52490,50047,48966,46143,44632,43066,42828,41267,38716,34884,46182.5,,576372,,57066,34884,,,,
,,Policies,Expected,46176,53452,43297,43851,39313,43580,35434,39557,32846,38009,33644,34884,5845.583333333333,,70212,,65,0,,,,
,,Policies,AvE Difference,46176,53452,43297,43851,39313,43580,35434,39557,32846,38009,33644,34884,40336.916666666664,,506160,,57001,34884,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live Policy Count,Actual,56183,54858,51855,50694,48579,46680,44863,43385,42955,40923,38750,34631,46196.333333333336,,38750,,57429,34631,,,,
,,Live Policy Count,Expected,43635,-11891,-43040,-8788,6630,35879,-24275,-5587,-29060,7841,-44616,34631,49416.416666666664,,0,,0,0,,,,
,,Live Policy Count,AvE Difference,43635,-11891,-43040,-8788,6630,35879,-24275,-5587,-29060,7841,-44616,34631,-3220.0833333333335,,38750,,57429,34631,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cancellations,Actual,56213,54364,52455,50059,48961,46182,45091,43507,43055,41461,38727,35094,46264.083333333336,,577063,,56988,35094,,,,
,,(Sin Desestimientos),Expected,0.02705368519059792,0.02525760054755233,0.02185933550348296,0.03022118821609787,0.03505719752605507,0.03826889411395573,0.03031088458227982,0.0301284093878097,0.0283107246408818,0.0293966883857304,0.02793768225796622,0,0.026983524196034153,,0.3238022903524098,,0,0,,,,
,,(Sin Desestimientos),AvE Difference,56212.97294631481,54363.974742399456,52454.9781406645,50058.969778811785,48960.96494280247,46181.96173110588,45090.969689115416,43506.96987159061,43054.97168927536,41460.970603311616,38726.97206231774,35094,46264.056349809136,,577062.6761977096,,56988,35094,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cancellation Rate,Actual,0.9788260286614776,0.9676236584020077,0.9561959969375479,0.9653649599845724,0.9658144948120093,0.9506576915951337,0.9659597257926307,0.9697746472594343,0.992393684453152,0.9652194156675591,0.9463382449967012,0.9056516129032258,0.9608183467887876,,0.9998423297768013,,0.9923209528287102,1.013369524414542,,,,
,,Cancellation Rate,Expected,0.9788260286614776,0.9676236584020077,0.9561959969375479,0.9653649599845724,0.9658144948120093,0.9506576915951337,0.9659597257926307,0.9697746472594343,0.992393684453152,0.9652194156675591,0.9463382449967012,0.9056516129032258,0.026983524196034153,,0.02941906986531226,,0.03893997195303511,,,,,
,,Cancellation Rate,AvE Difference,0.9517723434708797,0.9423660578544554,0.9343366614340649,0.9351437717684745,0.9307572972859542,0.912388797481178,0.9356488412103509,0.9396462378716246,0.9640829598122702,0.9358227272818287,0.9184005627387349,0.9056516129032258,0.9338348225927535,,0.970423259911489,,0.9533809808756751,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average ,Actual - New,5.58,1.52,0.85,4.75,5.73,4.57,9.34,4.88,4.62,4.59,4.82,3.45,4.5583333333333345,,4.286666666666666,,0.19,3.97,,,,
,,Net Premium,Actual - Live,0.9927684530907901,0.9908835539028036,1.009666377398513,0.9828756854854636,1.0078206632495528,0.9962050128534712,0.9901328488955251,0.9795586032038713,0.98535118146898,1.0187992082691908,0.9978041290322575,1.0017758655539821,0.9961367985337003,,0.9957759454149109,,0.9983820021243621,1.0017758655539821,,,,
