Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,Net Earned Premium,,,,,,,,,,,,,,,,,,,,
,,,,,Reporting Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,Net Earned Premium,2017,316054,594107,561425,338993,253374,398629,18328,288295,430967,281144,320492,189824,3991632,,316054,,,,
,,Net Earned Premium,2018,494296,25590,174470,235081,338303,530610,75864,135693,172657,585723,365675,193696,3327658,,494296,,,,
,,Net Earned Premium,2019,342926,165343,57067,90531,2870,586863,397886,599731,67675,532986,77386,481243,3402507,,342926,,,,
,,Net Earned Premium,2020,269210,84785,583018,141877,547938,445301,56268,239194,155559,572922,143348,469047,3708467,,269210,,,,
,,Net Earned Premium,2021,161104,533527,401375,107946,385487,531524,249399,16727,288014,295409,347198,259194,3576904,,161104,,,,
,,Net Earned Premium,2022,375308,232708,432191,287563,381716,86257,285515,137779,208009,144361,68371,326292,2966070,,375308,,,,
,,Net Earned Premium,2023,109814,336736,220665,376414,40837,66348,504652,588274,221371,186212,265967,154515,3071805,,109814,,,,
,,Net Earned Premium,2024,243753,81149,369589,506449,491624,587100,339869,264421,428726,106431,433285,430726,4283122,,243753,,,,
,,Net Earned Premium,2025,424781,43726,559938,261674,208420,58322,118661,17025,542755,500567,98110,502795,3336774,,424781,,,,
,,Net Earned Premium,2026,271127,0,0,0,0,0,0,0,0,0,0,0,271127,,271127,,,,
