Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,,,,,Return,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Claim Frequency Summary,,,,,,,,,,,,,,,,,,,,,,,2025-01-01
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Claim Frequency Summary,,,,Loss Month,,,,,,,,,,,,,,,,,,,
,,Criteria,Measure,Actual/,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,,
,,Criteria,Measure,Expected,,,,,,,,,,,,,Average,,2025,,2025,2026,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abandoned,No of Claims,Actual,827,910,788,780,798,896,855,802,798,667,695,592,784,,9745,,929,592,,,
,,Abandoned,Mix,,0.2864565292691375,0.3040427664550618,0.2995058912960851,0.2638700947225981,0.2719836400817996,0.29072031148604804,0.2710843373493976,0.28449804895352965,0.2871536523929471,0.2547746371275783,0.2689628482972136,0.23736968724939855,0.2767018703900663,,0.282537473543823,,0.30419122462344467,0.23736968724939855,,,
,,Denied,No of Claims,,463,478,420,508,452,462,451,386,363,348,248,234,401.0833333333333,,5011,,432,234,,,
,,Denied,Mix,,0.1603740907516453,0.15970598062145006,0.15963511972633979,0.17185385656292287,0.15405589638718473,0.14990266060999352,0.14299302473050096,0.1369279886484569,0.13062252608852104,0.13292589763177998,0.09597523219814241,0.09382518043303929,0.14073312119916473,,0.14528427705778318,,0.14145383104125736,0.09382518043303929,,,
,,Solved,No of Claims,,1533,1559,1383,1620,1593,1658,1765,1576,1532,1516,1361,761,1488.0833333333333,,18730,,1634,761,,,
,,Solved,Mix,,0.5310010391409767,0.5208820581356498,0.5256556442417332,0.5480378890392422,0.5429447852760736,0.5379623621025308,0.5596068484464173,0.5590634976942178,0.551277437927312,0.5790679908326967,0.526702786377709,0.30513231756214915,0.5239445547313923,,0.543040213389,,0.5350360183366077,0.30513231756214915,,,
,,Pending,No of Claims,,64,46,40,48,91,66,83,55,86,87,280,907,154.41666666666666,,1005,,59,907,,,
,,Pending,Mix,,0.02216834083824039,0.015369194787838289,0.015203344735841885,0.016238159675236806,0.03101567825494206,0.021414665801427646,0.02631578947368421,0.019510464703795673,0.030946383591219862,0.033231474407944994,0.10835913312693499,0.36367281475541297,0.05862045367937665,,0.029138036009393756,,0.019318925998690242,0.36367281475541297,,,
,,Total Claims Volume,,,2887,2993,2631,2956,2934,3082,3154,2819,2779,2618,2584,2494,2827.5833333333335,,34491,,3054,2494,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abandoned,DAMAGE,,65,64,45,20,58,86,64,29,64,41,46,42,52,,636,,54,42,,,
,,by,THEFT,,29,21,12,10,21,25,21,20,12,6,16,5,16.5,,227,,34,5,,,
,,coverage,FC,,733,825,731,750,719,785,770,753,722,620,633,545,715.5,,8882,,841,545,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Solved & Pending %,,Actual,0.5531693799792171,0.5362512529234881,0.540858988977575,0.564276048714479,0.5739604635310156,0.5593770279039585,0.5859226379201015,0.5785739623980135,0.5822238215185318,0.6122994652406417,0.635061919504644,0.6688051323175621,0.5825650084107691,,0.5721782493983938,,0.554354944335298,0.6688051323175621,,,
,,Total Unpaid %,,,0.4468306200207829,0.4637487470765119,0.459141011022425,0.435723951285521,0.4260395364689844,0.4406229720960415,0.41407736207989854,0.4214260376019865,0.4177761784814682,0.3877005347593583,0.36493808049535603,0.3311948676824379,0.41743499158923103,,0.4278217506016062,,0.44564505566470203,0.3311948676824379,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Annual Claims Frequency - Solved & Pending,FC,,0.3418321661856546,0.3514579941091571,0.3269162584361485,0.399049585738841,0.41502169889033924,0.44659616140582836,0.4945569961550069,0.45125679582774214,0.4524078203920463,0.4652782816921851,0.5054596417735769,0.5757759858610385,0.435467448872297,,0.4099135236861962,,0.005591655594045479,0.5757759858610385,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estimated IBNR,FC,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Annual Ultimate Claims Frequency,FC,,0.04905125333911597,0.05068483398398251,0.04746308862326393,0.05078960769345096,0.05168834806788657,0.05535618983092989,0.0540356457652843,0.05355316177957546,0.04775159213110625,0.0464036745640224,0.04385956383648312,0,0.04588641330125845,,0.4099135236861962,,0.005591655594045479,0.5757759858610385,,,
