Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,,,,,Return,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Policy Detail,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,New Policies by Product and Band,,,,,,,,,,,,,,,,,,,,,,
,,New Policies by Product and Band,,,,Sales Month,,,,,,,,,,,,,,,,,,
,,Measure,Product & Product,Band,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,
,,Measure,Product & Product,,,,,,,,,,,,,,Average,,2025,,2025,2026,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,D - May 18 to Present,Band 1 - €0 - €200,9682,4981,4310,4688,4597,4232,4825,4493,4232,4818,4874,4776,5042.333333333333,,55602,,4711,4776,,
,,Measure,AD & Theft,Band 2 - €201 - €400,4928,5261,5541,5062,4649,4870,4911,4824,4941,5156,4777,4798,4976.5,,60161,,5241,4798,,
,,Measure,D,Band 3 - €401 - €600,4966,4362,4480,4145,4548,4786,4047,5021,4593,4261,3950,4193,4446,,53584,,4425,4193,,
,,Measure,D,Band 4 - €601 - €950,5580,4645,4732,5718,5531,5165,4780,5438,5700,5342,5241,4909,5231.75,,62274,,4402,4909,,
,,Measure,D,Band 5 - €951 - €1200,4507,4706,4518,4987,3961,4781,4457,4902,4577,4398,4689,4142,4552.083333333333,,54638,,4155,4142,,
,,Measure,D,Band 6 - €1201 - €1500,4905,4639,5061,5075,6198,5290,5227,5343,5131,4843,5317,5576,5217.083333333333,,62179,,5150,5576,,
,,Measure,D - May 18 to Present,Band 1 - €0 - €200,3473,3673,3828,3382,3144,3235,3891,3590,3570,3949,3134,3928,3566.4166666666665,,42010,,3141,3928,,
,,Measure,AD Only,Band 2 - €201 - €400,3359,3887,4066,4599,4143,3973,3876,3684,3757,4376,3636,3796,3929.3333333333335,,47807,,4451,3796,,
,,Measure,D,Band 3 - €401 - €600,3821,3302,3137,3625,3302,3329,3378,3296,3907,3069,3393,3368,3410.5833333333335,,41222,,3663,3368,,2025-01-01
,,Measure,D,Band 4 - €601 - €950,3583,3755,3512,3640,4075,3370,3794,3921,3659,3846,4158,3823,3761.3333333333335,,44743,,3430,3823,,
,,Measure,D,Band 5 - €951 - €1200,3386,4003,3794,3308,3778,3604,3785,3991,3891,3689,3503,3804,3711.3333333333335,,44449,,3717,3804,,
,,Measure,D,Band 6 - €1201 - €1500,3883,3716,4002,4168,3614,3657,3795,3611,3476,3624,3375,3763,3723.6666666666665,,44174,,3253,3763,,
,,Measure,D - May 18 to Present,Band 1 - €0 - €200,3841,3977,4000,3435,3392,3607,3873,3691,4265,4064,4149,3692,3832.1666666666665,,46439,,4145,3692,,
,,Measure,Theft Only,Band 2 - €201 - €400,3596,3981,3757,4161,3943,4321,4415,3910,3976,4434,3449,4076,4001.5833333333335,,48049,,4106,4076,,
,,Measure,D,Band 3 - €401 - €600,3931,3411,3728,3440,3599,3882,3785,4212,3853,3614,3351,4391,3766.4166666666665,,44475,,3669,4391,,
,,Measure,D,Band 4 - €601 - €950,4211,3976,3662,4054,3901,4114,3796,4376,4083,4418,3863,4060,4042.8333333333335,,48299,,3845,4060,,
,,Measure,D,Band 5 - €951 - €1200,4100,3779,4092,3908,3590,3534,3955,4092,4021,4223,3887,4006,3932.25,,46987,,3806,4006,,
,,Measure,D,Band 6 - €1201 - €1500,4175,5021,4342,4306,4109,4598,4694,4898,4197,4309,4422,4787,4488.166666666667,,53332,,4261,4787,,
,,Measure,E - Apr 24 to present,Band 1 - €0 - €200,820,579,819,571,698,525,627,870,790,623,816,651,699.0833333333334,,7928,,600,651,,
,,Measure,AD & Theft,Band 2 - €201 - €400,834,582,955,661,663,868,894,882,695,743,744,729,770.8333333333334,,9189,,668,729,,
,,Measure,AD & Theft,Band 3 - €401 - €600,456,620,849,576,704,587,833,671,670,707,883,722,689.8333333333334,,8105,,549,722,,
,,Measure,AD & Theft,Band 4 - €601 - €950,625,387,551,894,818,669,823,770,700,781,705,576,691.5833333333334,,8157,,434,576,,
,,Measure,AD & Theft,Band 5 - €951 - €1200,459,754,658,363,690,755,733,563,881,753,971,708,690.6666666666666,,7986,,406,708,,
,,Measure,AD & Theft,Band 6 - €1201 - €1500,462,637,451,570,609,849,793,775,883,834,1016,973,737.6666666666666,,8297,,418,973,,
,,Measure,E - Apr 24 to present,Band 1 - €0 - €200,226,215,306,527,313,395,421,334,538,550,479,510,401.1666666666667,,4557,,253,510,,
,,Measure,AD Only,Band 2 - €201 - €400,388,601,485,500,706,858,591,880,912,921,894,690,702.1666666666666,,8140,,404,690,,
,,Measure,AD Only,Band 3 - €401 - €600,396,663,660,744,710,525,923,861,997,787,786,701,729.4166666666666,,8423,,371,701,,
,,Measure,AD Only,Band 4 - €601 - €950,288,488,469,535,456,548,772,680,619,579,686,735,571.25,,6427,,307,735,,
