Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,2026,16138.424387172743,0,0,0,0,0,0,0,0,0,0,0,16138.424387172743,,16138.424387172743,,,,
,,,,,Loss Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,Total Loss Ratio,2022,0.3486187590907394,0.658701440445174,0.3566468606314213,0.4204428849279642,0.23201874122340915,1.3223998368093461,0.5752231786176035,0.8765703860075024,0.9989819215934858,0.6743747861376688,2.854563411877627,0.37175695429830724,0.562504780569109,,0.3486187590907394,,,,
,,Total Loss Ratio,2023,1.9479643506811593,0.556896246717266,0.7278988360946582,0.3326151739651341,3.957251764513752,3.12258435826532,0.19116541523246183,0.2477579233111602,0.5171552800872565,1.0449298681465211,0.5340189226734811,1.0312948438409388,0.6213637399619376,,1.9479643506811593,,,,
,,Total Loss Ratio,2024,0.6633713690370316,2.097420888758732,0.39934273342896054,0.2426493136410046,0.357389258597073,0.2553788995033903,0.5094406578796626,0.7558973017925387,0.3026228171910927,2.1722620721401813,0.41120085383445715,0.5301858360036744,0.48294378021465945,,0.6633713690370316,,,,
,,Total Loss Ratio,2025,0.42174804345242906,5.1041523031615235,0.3992801035848403,0.686962448083032,0.6555605742032661,2.3012548775817363,1.1149690746953316,3.7509637163210043,0.21788266193796138,0.1689539534248181,0.303641493076688,0.04761373623147581,0.45829779038122664,,0.42174804345242906,,,,
,,Total Loss Ratio,2026,0.18227154056621095,,,,,,,,,,,,0.1335533582365292,,0.18227154056621095,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Net Billed Premium,Year,,,,,,,,,,,,,,,,,,,
,,Net Billed Premium,Year,,Reporting Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,Measure,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Net Billed Premium,2013,,,,,,,163595,379214,408356,225673,11847,373328,1562013,,0,,,,
,,Net Billed Premium,2014,14456,338973,316524,42212,405267,225448,25467,419804,390611,453889,495387,303869,3431907,,14456,,,,
,,Net Billed Premium,2015,480626,67766,143824,105631,591502,106458,511663,293225,127594,487764,467815,126387,3510255,,480626,,,,
,,Net Billed Premium,2016,147911,69199,391513,369869,140280,158134,379326,324840,13186,249863,314278,510079,3068478,,147911,,,,
,,Net Billed Premium,2017,255313,233375,409757,587733,508869,444253,341063,498890,177211,391016,563583,517413,4928476,,255313,,,,
,,Net Billed Premium,2018,246076,571032,541627,28971,540782,116211,126598,270266,304505,155177,6470,219983,3127698,,246076,,,,
,,Net Billed Premium,2019,87332,588492,228341,474596,151004,157402,362727,479837,25416,68361,88194,456124,3167826,,87332,,,,
,,Net Billed Premium,2020,410975,205751,569666,348757,43737,455344,249966,563014,67600,579325,356846,532865,4383846,,410975,,,,
,,Net Billed Premium,2021,4158,44352,56083,386824,231326,495773,470444,95473,430870,116977,238075,281784,2852139,,4158,,,,
,,Net Billed Premium,2022,116154,438634,78983,507101,465951,543199,501133,158189,473561,530609,321653,225790,4360957,,116154,,,,
,,Net Billed Premium,2023,385222,164043,100680,231833,339228,93232,587649,556381,587266,454111,411282,401518,4312445,,385222,,,,
,,Net Billed Premium,2024,142910,102758,129712,534166,535959,12423,539787,408700,53080,202301,72428,221229,2955453,,142910,,,,
,,Net Billed Premium,2025,583361,185936,434495,252784,7772,41693,460944,542313,271931,55543,5404,251474,3093650,,583361,,,,
,,Net Billed Premium,2026,333511,0,0,0,0,0,0,0,0,0,0,0,333511,,333511,,,,
,,,,,,,,,,,,,,,,,,,,,,
