Documento,Claude Sonnet,Llama4-Maverick,gpt-5-mini,gpt-4o,Mistral document ai,Llama3.2vision,Qwen2.5
Formulario 1,13.48,4.58,,5.61,2.12,368.86,255.04
Denuncia TIM 1,3.33,4.01,17.68,5.73,1.2,275.03,497.51
Denuncia Policía 1,13.92,14.01,27.86,11.24,2.2,516.64,443.77
Formulario 2,26.79,8.49,27.86,15.63,2.69,283.13,345.84
Denuncia Policía 2,7.45,8.67,27.86,13.74,2.51,708.12,609.1
Promedio (s),12.994,7.952000000000001,22.77,10.39,2.144,430.35599999999994,430.25199999999995
,,,,,,,
AWS,,7.952000000000001,22.77,,,,
Azure,,7.952000000000001,22.77,,,,
Local,,7.952000000000001,22.77,,,,
