Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,D,,,H Band 3,0,0,0,0,83,118,107,190,224,364,379,373,153.16666666666666,,1465,,0,373,,
,D,,,H Band 4,0,0,0,0,81,212,431,333,606,773,769,970,347.9166666666667,,3205,,0,970,,
,D,,,H Band 5,0,0,0,0,68,214,187,371,570,799,646,678,294.4166666666667,,2855,,0,678,,
,D,,,H Band 6,0,0,0,0,116,129,182,510,500,632,834,724,302.25,,2903,,0,724,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Cancelled Policies by Product,AD & Theft,,,,,,,,,,,,,,,,,,,,,
,,Cancelled Policies by Product,AD & Theft,,,Cancellation Month,,,,,,,,,,,,,,,,,,
,,Measure,Product,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,12 Month,,Total,,YTD,YTD,,
,,Measure,Product,,,,,,,,,,,,,,Average,,2025,,2025,2026,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Cancelled,SMARTPHONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,113005,,
,,Volume,TABLET,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,134,,
,,Volume,WATCH,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Total,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,113883,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Cancellation,SMARTPHONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1.012725724783797,,
,,Rate,TABLET,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0.38285714285714284,,
,,Rate,WATCH,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,
,,Total,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1.0091448015524895,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,New Business Cancellation by Product,WATCH,,,,,,,,,,,,,,,,,,,,,
,,New Business Cancellation by Product,WATCH,,,Cancellation Month,,,,,,,,,,,,,,,,,,
