Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,Claims Frequency,,,,,,,,,,,,,,,,,,,,
,,,,,Loss Month,,,,,,,,,,,,,,,,,
,,Measure,Reporting,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,
,,,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,Earned Policies,2021,486556.6843683675,163091.5915637678,270251.21840814344,28724.790029968906,162190.32328540238,224844.32390629975,389164.8495981329,443938.48417188437,503511.1446809958,525680.7820595496,307368.1869878922,308353.35083937517,3813675.72989978,,486556.6843683675,,,,
,,Earned Policies,2022,99121.57506731153,251719.9874160224,342372.61678953446,106088.5227477711,318196.1186043368,184022.89348332892,513548.795064136,282334.5402036001,399275.50382699154,15017.321906537218,494534.07160099177,388655.1623086172,3394887.109019179,,99121.57506731153,,,,
,,Earned Policies,2023,144347.3441839464,70262.63711378333,452283.5790991975,221280.46822226583,135924.6880804534,515036.7852031294,407321.70342601556,158999.0568901482,223356.65137021884,85856.53741876913,345216.3774843944,19979.866641258013,2779865.69513358,,144347.3441839464,,,,
,,Earned Policies,2024,149293.5512116357,571778.239827346,242271.75389205955,383622.5919837119,532123.3971652251,157531.217856463,267751.4078842974,47760.48655367469,305749.6765180323,518077.67005677806,242862.48166781827,307049.63452843035,3725872.1091454728,,149293.5512116357,,,,
,,Earned Policies,2025,65977.27699316212,249617.9745969931,392467.9535242012,471344.58634576673,133108.12656982293,511323.67066445644,119629.63480291924,402168.3944598672,489211.53409288253,6268.775153832617,468515.3699261935,108673.21598981062,3418306.513119908,,65977.27699316212,,,,
,,Earned Policies,2026,91546.76853265626,0,0,0,0,0,0,0,0,0,0,0,91546.76853265626,,91546.76853265626,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Number of Claims,2013,,,,,,,1590.9651908036226,2340.7226128623447,5785.579455317382,5525.607010355115,3300.8402846561676,352.0156451286951,18895.730199123325,,0,,,,
,,Solved & Pending,2014,632.5444167869581,760.5200181385424,1561.8421302584836,3115.621105676177,4696.268887426281,2945.8994354654596,3662.74363272584,255.36969377917694,3281.674339204158,673.3618351386392,5775.5363362126745,3296.453615590389,30657.835446402776,,632.5444167869581,,,,
,,Solved & Pending,2015,5338.550501120219,414.1753657272333,2223.22075662683,5231.634982213067,623.6149916639408,3029.968558761077,4585.98941074384,2235.516596572075,224.4215821656026,3456.0514026208175,5062.692435631572,5354.12264486874,37779.959228715015,,5338.550501120219,,,,
,,Solved & Pending,2016,4271.0644601147815,3504.1866827344807,1925.936880153546,1156.1256332222633,2494.287777413265,5287.836432816905,1888.825116316944,2664.1821101003347,3010.5709845959786,5562.107176867225,3482.044623357448,4283.570060587523,39530.7379382807,,4271.0644601147815,,,,
,,Solved & Pending,2017,8505.678537310996,4625.955451833687,5972.621472789246,1945.9023038896219,297.56464140542295,1033.0388849976525,276.0484604369762,3120.875016958559,3727.6481615012794,4281.977488198909,5588.372118172043,1342.5934270955865,40718.27596458997,,8505.678537310996,,,,
,,Solved & Pending,2018,976.7157660933059,2210.5377918362715,1394.0910796159897,4784.766528782166,4369.883278543171,1259.622255542991,4268.838726904702,6315.279637570725,5083.823544293605,4644.169148331945,1540.0810348964885,2366.120476466673,39213.92926887804,,976.7157660933059,,,,
,,Solved & Pending,2019,10335.343997122654,11956.087743532933,9477.947015360594,19318.535065807886,19966.246276403428,13520.407006600668,28740.36500725513,24190.68059309564,23461.642690865843,44459.94005966122,46290.45461925104,54443.94475156333,306161.59482652036,,10335.343997122654,,,,
,,Solved & Pending,2020,48989.15675312502,41248.67633915752,48013.11011746506,42163.43851315083,34038.46715904182,45857.49217184761,46066.88748970003,44618.4693698806,45436.77518011119,41755.9715952573,49638.7452938421,51274.21325935367,539101.4032419327,,48989.15675312502,,,,
,,Solved & Pending,2021,36410.44791991325,31444.08314315908,26777.26255741603,32395.068289771367,31557.039961612445,39610.32241582386,32972.7257004987,36228.80227806006,41331.339800152644,26974.936979472008,32924.30144870769,35267.12692133763,403893.4574159247,,36410.44791991325,,,,
,,Solved & Pending,2022,33386.22167158834,47597.463351171464,42586.98642139728,36360.291581195146,36312.20776552574,30160.41166763807,35101.30047879421,32288.759278733232,59906.443548750416,32139.836787259894,39847.62956671846,27722.001051024974,453409.5531697973,,33386.22167158834,,,,
